216.244.66.246 - - [30/Apr/2017:04:28:11 +0000] "GET /docs/triton/pages.html HTTP/1.1" 200 5639 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)"
199.21.99.207 - - [30/Apr/2017:04:31:23 +0000] "GET /docs/triton/functions_func_0x68.html HTTP/1.1" 200 1707 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
54.210.20.202 - - [30/Apr/2017:04:32:02 +0000] "POST /wp-cron.php?doing_wp_cron=1493526722.2566750049591064453125 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526722.2566750049591064453125" "WordPress/4.7.4; http://sundog-soft.com"
5.141.214.11 - - [30/Apr/2017:04:32:01 +0000] "GET /wp-login.php HTTP/1.1" 200 5226 "-" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:32:03 +0000] "POST /wp-cron.php?doing_wp_cron=1493526723.9208920001983642578125 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526723.9208920001983642578125" "WordPress/4.7.4; http://sundog-soft.com"
5.141.214.11 - - [30/Apr/2017:04:32:03 +0000] "POST /wp-login.php HTTP/1.1" 200 6182 "http://sundog-soft.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:32:36 +0000] "POST /wp-cron.php?doing_wp_cron=1493526756.7188360691070556640625 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526756.7188360691070556640625" "WordPress/4.7.4; http://sundog-soft.com"
212.109.27.134 - - [30/Apr/2017:04:32:36 +0000] "GET /wp-login.php HTTP/1.1" 200 5226 "-" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:32:38 +0000] "POST /wp-cron.php?doing_wp_cron=1493526758.2967031002044677734375 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526758.2967031002044677734375" "WordPress/4.7.4; http://sundog-soft.com"
212.109.27.134 - - [30/Apr/2017:04:32:37 +0000] "POST /wp-login.php HTTP/1.1" 200 6182 "http://sundog-soft.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:33:15 +0000] "POST /wp-cron.php?doing_wp_cron=1493526795.5258820056915283203125 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526795.5258820056915283203125" "WordPress/4.7.4; http://sundog-soft.com"
104.154.198.228 - - [30/Apr/2017:04:33:14 +0000] "GET /feed/ HTTP/1.1" 200 31812 "-" "Java/1.8.0_121"
54.210.20.202 - - [30/Apr/2017:04:33:31 +0000] "POST /wp-cron.php?doing_wp_cron=1493526811.7200520038604736328125 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526811.7200520038604736328125" "WordPress/4.7.4; http://sundog-soft.com"
108.171.129.169 - - [30/Apr/2017:04:33:31 +0000] "GET /feed/ HTTP/1.1" 200 31812 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:53.0) Gecko/20100101 Firefox/53.0"
54.210.20.202 - - [30/Apr/2017:04:33:58 +0000] "POST /wp-cron.php?doing_wp_cron=1493526837.9989309310913085937500 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526837.9989309310913085937500" "WordPress/4.7.4; http://sundog-soft.com"
217.118.90.49 - - [30/Apr/2017:04:33:57 +0000] "GET /wp-login.php HTTP/1.1" 200 5226 "-" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:33:59 +0000] "POST /wp-cron.php?doing_wp_cron=1493526839.5685200691223144531250 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526839.5685200691223144531250" "WordPress/4.7.4; http://sundog-soft.com"
217.118.90.49 - - [30/Apr/2017:04:33:58 +0000] "POST /wp-login.php HTTP/1.1" 200 6182 "http://sundog-soft.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
109.163.234.2 - - [30/Apr/2017:04:34:09 +0000] "GET / HTTP/1.1" 200 20503 "-" "Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1"
54.210.20.202 - - [30/Apr/2017:04:34:11 +0000] "POST /wp-cron.php?doing_wp_cron=1493526851.0895419120788574218750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526851.0895419120788574218750" "WordPress/4.7.4; http://sundog-soft.com"
109.163.234.2 - - [30/Apr/2017:04:34:10 +0000] "POST / HTTP/1.1" 200 20542 "http://sundog-soft.com/" "Mozilla/5.0 (Windows NT 5.1; rv:7.0.1) Gecko/20100101 Firefox/7.0.1"
81.30.223.226 - - [30/Apr/2017:04:34:20 +0000] "GET /wp-login.php HTTP/1.1" 200 5226 "-" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:34:21 +0000] "POST /wp-cron.php?doing_wp_cron=1493526861.3935019969940185546875 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526861.3935019969940185546875" "WordPress/4.7.4; http://sundog-soft.com"
84.42.28.172 - - [30/Apr/2017:04:34:20 +0000] "GET /wp-login.php HTTP/1.1" 200 5226 "-" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
81.30.223.226 - - [30/Apr/2017:04:34:22 +0000] "POST /wp-login.php HTTP/1.1" 200 6182 "http://sundog-soft.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:34:23 +0000] "POST /wp-cron.php?doing_wp_cron=1493526863.8034720420837402343750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526863.8034720420837402343750" "WordPress/4.7.4; http://sundog-soft.com"
84.42.28.172 - - [30/Apr/2017:04:34:22 +0000] "POST /wp-login.php HTTP/1.1" 200 6182 "http://sundog-soft.com/wp-login.php" "Mozilla/5.0 (Windows NT 6.0; rv:34.0) Gecko/20100101 Firefox/34.0"
54.210.20.202 - - [30/Apr/2017:04:34:55 +0000] "POST /wp-cron.php?doing_wp_cron=1493526895.7230939865112304687500 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526895.7230939865112304687500" "WordPress/4.7.4; http://sundog-soft.com"
180.76.15.140 - - [30/Apr/2017:04:34:55 +0000] "GET / HTTP/1.1" 301 - "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
54.210.20.202 - - [30/Apr/2017:04:35:45 +0000] "POST /wp-cron.php?doing_wp_cron=1493526945.0879158973693847656250 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493526945.0879158973693847656250" "WordPress/4.7.4; http://sundog-soft.com"
180.76.15.160 - - [30/Apr/2017:04:35:44 +0000] "GET / HTTP/1.1" 301 - "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
117.193.31.89 - - [30/Apr/2017:04:35:48 +0000] "GET /docs/triton/advanced.html HTTP/1.1" 200 8579 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36"
117.193.31.89 - - [30/Apr/2017:04:35:51 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://www.sundog-soft.com/docs/triton/advanced.html" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36"
54.210.20.202 - - [30/Apr/2017:04:37:02 +0000] "POST /wp-cron.php?doing_wp_cron=1493527021.9930109977722167968750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527021.9930109977722167968750" "WordPress/4.7.4; http://sundog-soft.com"
34.195.252.134 - - [30/Apr/2017:04:37:01 +0000] "GET /robots.txt HTTP/1.1" 200 67 "-" "Amazon CloudFront"
54.210.20.202 - - [30/Apr/2017:04:37:12 +0000] "POST /wp-cron.php?doing_wp_cron=1493527032.8261559009552001953125 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527032.8261559009552001953125" "WordPress/4.7.4; http://sundog-soft.com"
142.160.107.21 - - [30/Apr/2017:04:37:12 +0000] "GET /2015/05/simulated-water-refraction-using-transparency/ HTTP/1.1" 200 15687 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:37:14 +0000] "GET /favicon.ico HTTP/1.1" 200 - "http://sundog-soft.com/2015/05/simulated-water-refraction-using-transparency/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36"
54.210.20.202 - - [30/Apr/2017:04:37:15 +0000] "POST /wp-cron.php?doing_wp_cron=1493527035.2365489006042480468750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527035.2365489006042480468750" "WordPress/4.7.4; http://sundog-soft.com"
142.160.107.21 - - [30/Apr/2017:04:37:14 +0000] "POST /2015/05/simulated-water-refraction-using-transparency/?wc-ajax=get_refreshed_fragments HTTP/1.1" 200 255 "http://sundog-soft.com/2015/05/simulated-water-refraction-using-transparency/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36"
180.76.15.134 - - [30/Apr/2017:04:37:51 +0000] "GET /docs/html/_frustum_8h.html HTTP/1.1" 200 1678 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
92.247.181.8 - - [30/Apr/2017:04:37:53 +0000] "GET /sds/feed/ HTTP/1.1" 301 236 "http://sundog-soft.com/" "Mozilla/5.0 (compatible; inoreader.com-like FeedFetcher-Google)"
92.247.181.8 - - [30/Apr/2017:04:37:53 +0000] "GET /feed/ HTTP/1.1" 304 - "http://sundog-soft.com/" "Mozilla/5.0 (compatible; inoreader.com-like FeedFetcher-Google)"
54.210.20.202 - - [30/Apr/2017:04:37:54 +0000] "GET /sitemap_index.xml HTTP/1.1" 200 389 "http://sundog-soft.com/sitemap_index.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:37:55 +0000] "GET /post-sitemap.xml HTTP/1.1" 200 13654 "http://sundog-soft.com/post-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:37:56 +0000] "GET /page-sitemap.xml HTTP/1.1" 200 2198 "http://sundog-soft.com/page-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:37:57 +0000] "GET /product-sitemap.xml HTTP/1.1" 200 555 "http://sundog-soft.com/product-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:37:57 +0000] "GET /creativo_portfolio-sitemap.xml HTTP/1.1" 200 658 "http://sundog-soft.com/creativo_portfolio-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:37:58 +0000] "GET /clients-sitemap.xml HTTP/1.1" 200 3298 "http://sundog-soft.com/clients-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:37:59 +0000] "GET /category-sitemap.xml HTTP/1.1" 200 411 "http://sundog-soft.com/category-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:37:59 +0000] "GET /portfolio_category-sitemap.xml HTTP/1.1" 200 337 "http://sundog-soft.com/portfolio_category-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:38:00 +0000] "GET /author-sitemap.xml HTTP/1.1" 200 347 "http://sundog-soft.com/author-sitemap.xml" "W3 Total Cache"
54.210.20.202 - - [30/Apr/2017:04:38:01 +0000] "GET /features/ HTTP/1.1" 200 13327 "http://sundog-soft.com/features/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:02 +0000] "GET /3d-oceans-openscenegraph/ HTTP/1.1" 200 15016 "http://sundog-soft.com/3d-oceans-openscenegraph/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:02 +0000] "GET /3d-water-oceans-torque-3d/ HTTP/1.1" 200 14953 "http://sundog-soft.com/3d-water-oceans-torque-3d/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:03 +0000] "GET /features/ocean-and-water-rendering-with-triton/unity-water-effects-with-triton-for-unity-pro/ HTTP/1.1" 200 16358 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/unity-water-effects-with-triton-for-unity-pro/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:03 +0000] "GET /evaluate/download/ HTTP/1.1" 200 15884 "http://sundog-soft.com/evaluate/download/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:03 +0000] "GET /dynamic-skies-3d-clouds-openscenegraph/ HTTP/1.1" 200 14967 "http://sundog-soft.com/dynamic-skies-3d-clouds-openscenegraph/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:04 +0000] "GET /dynamic-skies-3d-clouds-ogre/ HTTP/1.1" 200 14905 "http://sundog-soft.com/dynamic-skies-3d-clouds-ogre/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:05 +0000] "GET /3d-water-oceans-ogre/ HTTP/1.1" 200 14943 "http://sundog-soft.com/3d-water-oceans-ogre/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:05 +0000] "GET / HTTP/1.1" 200 20503 "http://sundog-soft.com/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:38:05 +0000] "GET /product/silverlining-product-license-without-source-code/ HTTP/1.1" 200 14513 "http://sundog-soft.com/product/silverlining-product-license-without-source-code/" "WordPress"
54.210.20.202 - - [30/Apr/2017:04:37:54 +0000] "POST /wp-cron.php?doing_wp_cron=1493527074.2895140647888183593750 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527074.2895140647888183593750" "WordPress/4.7.4; http://sundog-soft.com"
54.210.20.202 - - [30/Apr/2017:04:38:22 +0000] "POST /wp-cron.php?doing_wp_cron=1493527102.2734150886535644531250 HTTP/1.1" 200 - "http://sundog-soft.com/wp-cron.php?doing_wp_cron=1493527102.2734150886535644531250" "WordPress/4.7.4; http://sundog-soft.com"
66.249.64.194 - - [30/Apr/2017:04:38:21 +0000] "GET /robots.txt HTTP/1.1" 200 67 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.253 - - [30/Apr/2017:04:38:23 +0000] "GET /features/ocean-and-water-rendering-with-triton/unity-water-effects-with-triton-for-unity-pro/ HTTP/1.1" 200 16358 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /features/ocean-and-water-rendering-with-triton/ HTTP/1.1" 200 16609 "https://www.google.ca/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/LayerSlider/static/layerslider/css/layerslider.css?ver=6.3.0 HTTP/1.1" 200 3792 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.7 HTTP/1.1" 200 634 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.1 HTTP/1.1" 200 7067 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/tablepress/css/default.min.css?ver=1.8 HTTP/1.1" 200 2739 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/mailchimp-for-wp/assets/css/form-basic.min.css?ver=4.1.1 HTTP/1.1" 200 697 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=5.1.2 HTTP/1.1" 200 6684 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/mailchimp-widget/js/mailchimp-widget-min.js?ver=4.7.4 HTTP/1.1" 200 587 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.transitions.js?ver=6.3.0 HTTP/1.1" 200 3396 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/LayerSlider/static/layerslider/js/greensock.js?ver=1.19.0 HTTP/1.1" 200 39570 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.1.2 HTTP/1.1" 200 44414 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:56 +0000] "GET /wp-content/plugins/LayerSlider/static/layerslider/js/layerslider.kreaturamedia.jquery.js?ver=6.3.0 HTTP/1.1" 200 42430 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.0.4 HTTP/1.1" 200 803 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=5.1.2 HTTP/1.1" 200 351 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/contact-form-7/includes/js/jquery.form.min.js?ver=3.51.0-2014.06.20 HTTP/1.1" 200 5860 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.7 HTTP/1.1" 200 3667 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70 HTTP/1.1" 200 3547 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4 HTTP/1.1" 200 987 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=3.0.4 HTTP/1.1" 200 291 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/woocommerce/assets/js/frontend/cart-fragments.min.js?ver=3.0.4 HTTP/1.1" 200 925 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/js_composer/assets/js/dist/js_composer_front.min.js?ver=5.1.2 HTTP/1.1" 200 6450 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.1 HTTP/1.1" 200 37359 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.1 HTTP/1.1" 200 17555 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
142.160.107.21 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-includes/js/wp-emoji-release.min.js?ver=4.7.4 HTTP/1.1" 200 4230 "http://sundog-soft.com/features/ocean-and-water-rendering-with-triton/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36"
52.15.127.173 - - [30/Apr/2017:04:38:57 +0000] "GET /wp-content/uploads/2014/05/shoreline-specular.jpg HTTP/1.1" 200 30799 "-" "Amazon CloudFront"
